,FilingDate,TradeDate,Ticker,Company,Name,Role,TradeType,Share Price,NoShares,DollarAmount,PercentChange,DollarIncrease,
,03/12/2020 16:19,03/12/2020,EPD,Enterprise Products Partners L.P.,Teague Aj,Co-CEO,P - Purchase,$20.07,5025,2095961,0%,"+$100,837",
,03/12/2020 17:00,03/12/2020,CNX,Cnx Resources Corp,Rush Donald W.,"EVP, CFO",P - Purchase,$8.99,5500,266726,2%,"+$49,452",
,04/12/2020 07:47,03/12/2020,ELYS,"Elys Game Technology, Corp.",Ciavarella Michele,"CEO, 10%",P - Purchase,$2.91,78000,4701966,2%,"+$226,765",
DM,01/12/2020 14:33,30/11/2020,STFC,State Auto Financial Corp,Larocco Michael,"Pres, CEO",P - Purchase,$15.00,5000,0,-100%,"+$75,000",
,01/12/2020 16:57,30/11/2020,BIIB,Biogen Inc.,Vounatsos Michel,CEO,P - Purchase,$241.31,3100,34810,10%,"+$748,047",
,25/11/2020 11:59,24/11/2020,NTWK,Netsol Technologies Inc,Ghauri Najeeb,CEO,P - Purchase,$2.98,10000,766901,1%,"+$29,800",
,24/11/2020 18:01,23/11/2020,CHMA,"Chiasma, Inc",Kannan Raj,CEO,P - Purchase,$4.00,120000,137095,702%,"+$480,492",
,20/11/2020 16:25,20/11/2020,EEX,"Emerald Holding, Inc.",Field Brian,"Interim Pres, CEO",P - Purchase,$3.89,13661,84242,19%,"+$53,141",
,19/11/2020 16:10,19/11/2020,IHRT,"Iheartmedia, Inc.",Pittman Robert W,"CEO, Dir",P - Purchase,$10.15,20000,558381,4%,"+$202,952",
,19/11/2020 16:34,19/11/2020,REYN,Reynolds Consumer Products Inc.,Graham Michael E.,CFO,P - Purchase,$29.37,2600,2600,New,"+$76,367",
,20/11/2020 06:02,19/11/2020,RILY,"B. Riley Financial, Inc.",Riley Bryant R,"COB, Co-CEO, 10%",P - Purchase,$32.53,15000,5362997,0%,"+$487,985",
,20/11/2020 13:07,19/11/2020,FCF,First Commonwealth Financial Corp /pa/,Price T Michael,"Pres, CEO",P - Purchase,$9.96,10000,250339,4%,"+$99,600",
,19/11/2020 16:10,18/11/2020,SPOK,"Spok Holdings, Inc",Kelly Vincent D,"Pres, CEO",P - Purchase,$9.83,10000,377108,3%,"+$98,321",
,19/11/2020 16:35,18/11/2020,MBI,Mbia Inc,Fallon William C,"CEO, Pres",P - Purchase,$6.17,100000,2397108,4%,"+$617,000",
,19/11/2020 18:16,18/11/2020,BMTC,Bryn Mawr Bank Corp,Harrington Michael W,CFO,P - Purchase,$30.43,3000,18237,20%,"+$91,290",
D,17/11/2020 13:03,17/11/2020,SBH,"Sally Beauty Holdings, Inc.",Brickman Christian A.,"Pres, CEO",P - Purchase,$10.94,11350,457571,3%,"+$124,145",
,17/11/2020 20:10,17/11/2020,PGRE,"Paramount Group, Inc.",Behler Albert P.,"COB, CEO, Pres",P - Purchase,$9.65,20000,131812,18%,"+$193,000",
,18/11/2020 20:04,17/11/2020,CTGO,"Contango Ore, Inc.",Van Nieuwenhuyse Rick,"Pres, CEO",P - Purchase,$15.00,70000,220472,47%,"+$1,050,000",
,16/11/2020 16:14,16/11/2020,EPD,Enterprise Products Partners L.P.,Teague Aj,Co-CEO,P - Purchase,$19.05,1880,2090936,0%,"+$35,812",
