,FilingDate,TradeDate,Ticker,Company,Name,Role,TradeType,Share Price,NoShares,DollarAmount,PercentChange,DollarIncrease,
,11/02/2021 18:47,10/02/2021,BHE,Benchmark Electronics Inc,Benck Jeff,"Pres, CEO",P - Purchase,$27.87,1800,179984,1%,"+$50,173",
,09/02/2021 15:20,09/02/2021,BOLT,"Bolt Biotherapeutics, Inc.",Schatzman Randall C,CEO,P - Purchase,$20.00,1500,1500,New,"+$30,000",
D,10/02/2021 08:30,09/02/2021,AMG,"Affiliated Managers Group, Inc.",Horgen Jay C.,"Pres, CEO",P - Purchase,$136.23,4000,141526,3%,"+$544,920",
,08/02/2021 17:06,08/02/2021,SBH,"Sally Beauty Holdings, Inc.",Brickman Christian A.,"Pres, CEO",P - Purchase,$14.53,10000,461136,2%,"+$145,250",
,05/02/2021 13:12,04/02/2021,HOG,"Harley-Davidson, Inc.",Zeitz Jochen,"Pres, CEO",P - Purchase,$32.47,30800,253720,14%,"+$1,000,165",
,05/02/2021 16:23,04/02/2021,HBT,"Hbt Financial, Inc.",Drake Fred L,"COB, CEO, 10%",P - Purchase,$15.20,2770,17315170,0%,"+$42,104",
,05/02/2021 17:08,04/02/2021,JWSM,Jaws Mustang Acquisition Corp,Reidler Michael,CFO,P - Purchase,$10.00,100000,100000,New,"+$1,000,000",
,03/02/2021 11:43,03/02/2021,SLCT,"Select Bancorp, Inc.",Hedgepeth William L,"Pres, CEO",P - Purchase,$9.55,4500,60047,8%,"+$42,975",
D,04/02/2021 12:54,03/02/2021,ABQQ,Ab International Group Corp.,Deng Chiyuan,"CEO, 10%",P - Purchase,$0.09,500000,2262733,28%,"+$42,500",
,02/02/2021 16:03,02/02/2021,PCB,Pcb Bancorp,Kim Henry,"Pres, CEO, Dir",P - Purchase,$11.40,3000,184761,2%,"+$34,200",
D,02/02/2021 21:10,02/02/2021,BLUA,Blueriver Acquisition Corp.,Mays Randall Thomas,"Co-CEO, CFO, 10%",P - Purchase,$10.00,725000,725000,New,"+$7,250,000",
D,02/02/2021 21:31,02/02/2021,BLUA,Blueriver Acquisition Corp.,Gregg John F,"Co-CEO, 10%",P - Purchase,$10.00,725000,725000,New,"+$7,250,000",
,02/02/2021 10:30,01/02/2021,SRGA,"Surgalign Holdings, Inc.",Rich Terry M.,"Pres, CEO",P - Purchase,$1.50,808204,1100936,276%,"+$1,212,306",
,28/01/2021 06:00,27/01/2021,TCON,"Tracon Pharmaceuticals, Inc.",Theuer Charles,"Pres, CEO",P - Purchase,$8.98,11000,201232,6%,"+$98,771",
,27/01/2021 14:50,26/01/2021,RILY,"B. Riley Financial, Inc.",Riley Bryant R,"COB, Co-CEO, 10%",P - Purchase,$48.13,12000,5591629,0%,"+$577,552",
,26/01/2021 16:30,25/01/2021,FCEL,Fuelcell Energy Inc,Few Jason,CEO,P - Purchase,$17.99,11000,22134,99%,"+$197,890",
,26/01/2021 16:49,25/01/2021,CCEL,Cryo Cell International Inc,Portnoy David,"COB, Co-CEO",P - Purchase,$8.10,4000,1228544,0%,"+$32,400",
,26/01/2021 16:51,25/01/2021,ORRF,Orrstown Financial Services Inc,Quinn Thomas R Jr,"Pres, CEO",P - Purchase,$18.31,1411,61514,2%,"+$25,835",
M,21/01/2021 16:18,21/01/2021,BSPK,"Bespoke Extracts, Inc.",Pollack Danil,"CEO, 10%",P - Purchase,$0.05,2000000,126000000,2%,"+$100,000",
,19/01/2021 17:48,19/01/2021,LNDC,Landec Corp ca,Bolles Albert D.,CEO,P - Purchase,$10.98,10000,36152,38%,"+$109,800",
D,15/01/2021 17:57,15/01/2021,USAC,Us Alliance Corp,Brier Jack H.,"COB, Pres,, CEO",P - Purchase,$1.10,32000,446800,8%,"+$35,200",
,14/01/2021 13:30,14/01/2021,BCYP,Big Cypress Acquisition Corp.,Big Cypress Holdings LLC,"CEO, CFO, 10%",P - Purchase,$10.00,417200,3047825,16%,"+$4,172,000",
,14/01/2021 13:33,14/01/2021,BCYP,Big Cypress Acquisition Corp.,Reich Samuel J,"CEO, CFO, 10%",P - Purchase,$10.00,417200,3047825,16%,"+$4,172,000",
,13/01/2021 08:34,13/01/2021,RILY,"B. Riley Financial, Inc.",Kelleher Thomas J /adv,Co-CEO,P - Purchase,$46.00,10000,742552,1%,"+$460,000",
,13/01/2021 08:34,13/01/2021,RILY,"B. Riley Financial, Inc.",Riley Bryant R,"COB, Co-CEO, 10%",P - Purchase,$46.00,100000,5563837,2%,"+$4,600,000",
,12/01/2021 18:33,12/01/2021,SWBK.,Switchback II Corp,Mutrie James E.,"Co-CEO, 10%",P - Purchase,$10.00,100000,100000,New,"+$1,000,000",
,12/01/2021 18:35,12/01/2021,SWBK.,Switchback II Corp,McNeill Scott K.,"Co-CEO, 10%",P - Purchase,$10.00,100000,100000,New,"+$1,000,000",
,12/01/2021 21:26,11/01/2021,GRWC,"Grow Capital, Inc.",Kennedy Terry Joe,"CEO, Pres, 10%",P - Purchase,$0.25,164000,7523336,2%,"+$41,000",
,07/01/2021 17:13,07/01/2021,BSPK,"Bespoke Extracts, Inc.",Pollack Danil,"CEO, 10%",P - Purchase,$0.02,5000000,124000000,4%,"+$100,000",
D,07/01/2021 10:05,06/01/2021,GEF,"Greif, Inc",Hilsheimer Lawrence A.,"EVP, CFO",P - Purchase,$53.08,4900,159129,3%,"+$260,110",
D,07/01/2021 13:31,06/01/2021,USIO,"Usio, Inc.",Jewell Lowell Thomas,"SVP, CFO",P - Purchase,$3.25,11860,483583,3%,"+$38,545",
,06/01/2021 11:20,05/01/2021,GEF,"Greif, Inc",Hilsheimer Lawrence A.,"EVP, CFO",P - Purchase,$49.86,4900,159229,3%,"+$244,300",
,31/12/2020 17:29,31/12/2020,XAIR,"Beyond Air, Inc.",Lisi Steven A.,"CEO, COB",P - Purchase,$5.28,38500,929,-102%,"+$203,280",
,31/12/2020 09:38,30/12/2020,IWSH,"Wright Investors Service Holdings, Inc.",Eisen Harvey P,"Pres , CEO",P - Purchase,$0.20,582500,6093669,11%,"+$116,500",
,31/12/2020 16:17,30/12/2020,GEF,"Greif, Inc",Hilsheimer Lawrence A.,"EVP, CFO",P - Purchase,$49.29,4750,159579,3%,"+$234,120",
,30/12/2020 11:17,29/12/2020,UTL,Unitil Corp,Meissner Thomas P Jr,"COB, Pres, CEO",P - Purchase,$43.00,1000,67318,2%,"+$42,998",
,28/12/2020 16:31,28/12/2020,CLRB,"Cellectar Biosciences, Inc.",Caruso James V,"Pres, CEO",P - Purchase,$1.35,37037,81301,84%,"+$50,000",
,29/12/2020 07:33,28/12/2020,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$4.00,300000,224567822,0%,"+$1,199,500",
,29/12/2020 09:58,28/12/2020,TPHS,Trinity Place Holdings Inc.,"Messinger, Matthew","Pres, CEO",P - Purchase,$1.00,26113,1311869,2%,"+$26,113",
,29/12/2020 18:04,28/12/2020,NSYS,Nortech Systems Inc,Jones Christopher Dean,CFO,P - Purchase,$6.23,14636,19197,321%,"+$91,188",
,23/12/2020 09:14,22/12/2020,TURN,180 Degree Capital Corp. /ny/,Rendino Kevin,"COB, CEO",P - Purchase,$1.90,78769,1050000,8%,"+$149,661",
,23/12/2020 11:47,22/12/2020,GEF,"Greif, Inc",Hilsheimer Lawrence A.,"EVP, CFO",P - Purchase,$48.30,4400,161079,3%,"+$212,523",
,23/12/2020 17:48,22/12/2020,MDWT,Midwest Holding Inc.,Minnich Michael W.,"Co-CEO, 10%",P - Purchase,$60.06,2000,415176,0%,"+$120,110",
,22/12/2020 11:05,21/12/2020,GEF,"Greif, Inc",Hilsheimer Lawrence A.,"EVP, CFO",P - Purchase,$47.74,5000,161679,3%,"+$238,705",
,22/12/2020 16:33,21/12/2020,HRB,H&r Block Inc,Jones Jeffrey J II,"Pres, CEO",P - Purchase,$15.05,3310,346097,1%,"+$49,812",
,18/12/2020 18:43,18/12/2020,ATH,Athene Holding Ltd,Belardi James Richard,"COB, CEO, CIO",P - Purchase,$25.00,40000,40000,New,"+$1,000,000",
DM,17/12/2020 12:22,17/12/2020,AIM,Aim Immunotech Inc.,Equels Thomas K.,CEO,P - Purchase,$1.72,14535,198568,8%,"+$25,000",
,17/12/2020 19:00,17/12/2020,BH,Biglari Holdings Inc.,"Biglari, Sardar","COB, CEO, 10%",P - Purchase,$401.16,843,1392884,0%,"+$338,175",
,16/12/2020 18:06,16/12/2020,SONA,Southern National Bancorp of Virginia Inc,Zember Dennis J Jr,"Pres, CEO",P - Purchase,$11.57,100000,150000,200%,"+$1,157,000",
,17/12/2020 13:27,16/12/2020,CTRN,Citi Trends Inc,Makuen David N.,CEO,P - Purchase,$43.85,1000,15645,7%,"+$43,850",
,17/12/2020 17:04,16/12/2020,ELYS,"Elys Game Technology, Corp.",Ciavarella Michele,"CEO, 10%",P - Purchase,$3.79,42000,4901966,1%,"+$158,990",
,16/12/2020 18:45,15/12/2020,CSTR,"Capstar Financial Holdings, Inc.",Duncan Denis J.,CFO,P - Purchase,$13.49,11150,24952,81%,"+$150,414",
,15/12/2020 16:30,14/12/2020,NCSM,"Ncs Multistage Holdings, Inc.",Hummer Ryan,CFO,P - Purchase,$19.59,2331,13362,21%,"+$45,664",
,15/12/2020 17:00,14/12/2020,CTO,"Cto Realty Growth, Inc.",Partridge Matthew Morris,"SVP, CFO",P - Purchase,$41.75,1200,5200,30%,"+$50,100",
,15/12/2020 17:27,14/12/2020,URGN,Urogen Pharma Ltd.,Barrett Elizabeth A.,CEO,P - Purchase,$18.50,10000,229117,5%,"+$185,000",
,11/12/2020 16:05,11/12/2020,FLAC,Frazier Lifesciences Acquisition Corp,Topper James N,CEO,P - Purchase,$10.00,1000000,1000000,New,"+$10,000,000",
,10/12/2020 19:46,10/12/2020,TCDA,"Tricida, Inc.",Parker Geoffrey M.,"CFO, EVP",P - Purchase,$6.78,15000,250837,6%,"+$101,700",
,09/12/2020 17:55,09/12/2020,CSV,Carriage Services Inc,Payne Melvin C,CEO,P - Purchase,$30.02,29000,1302091,2%,"+$870,580",
,10/12/2020 10:02,09/12/2020,BOXL,Boxlight Corp,Pope Michael Ross,CEO,P - Purchase,$1.65,40000,287942,16%,"+$66,000",
D,08/12/2020 13:56,08/12/2020,HEPA,"Hepion Pharmaceuticals, Inc.",Foster Robert T,"CEO, Dir",P - Purchase,$1.58,25000,25259,>999%,"+$39,418",
,08/12/2020 20:50,08/12/2020,SBTX,"Silverback Therapeutics, Inc.",Piazza Jonathan,CFO,P - Purchase,$21.00,11904,11904,New,"+$249,984",
,09/12/2020 11:13,08/12/2020,ACFN,"Acorn Energy, Inc.",Loeb Jan H,"Pres, CEO, 10%",P - Purchase,$0.30,164501,7760514,2%,"+$49,350",
,09/12/2020 15:35,08/12/2020,CNNE,"Cannae Holdings, Inc.",Massey Richard N,CEO,P - Purchase,$42.33,15000,279536,6%,"+$634,950",
,09/12/2020 18:27,08/12/2020,WCRS,"Western Capital Resources, Inc.",Donchev Angel,CFO,P - Purchase,$6.30,4100,68666,6%,"+$25,820",
